Zone,T,a0,a1,b0,b1,M1,M2,d,f2,f3,phiS2S_1,phi_S2S_2,Sa_low,Sa_high,Afmin,Afmax
110,0.01,-0.10165363,0.17709467,1.0770692,-0.24968335,4.03,4.5,0,-0.29503081,0.035,0.33138653,0.27519849,0.001498438,0.014984381,0.25,1.8652976
110,0.025,-0.27446387,0.21610199,0.97006545,-0.21609916,4.8299343,4.5,0,-0.31034355,0.02,0.34822493,0.33580792,0.001332635,0.013326352,0.25,1.8409994
110,0.05,-0.5995043,0.22874967,0.28924215,-0.009534497,5.8488247,4.5,0,-0.25708905,0.02,0.46419736,0.40705377,0.000945838,0.009458383,0.25,1.4008119
110,0.075,-0.56186945,0.18446697,-0.006022411,0.058659739,6.6501087,4.5,0,-0.2195775,0.035,0.43328108,0.41523856,0.001763416,0.017634161,0.25,1.2133454
110,0.1,-0.071852844,0.070613437,-0.007289764,0.044252964,6.4679054,4.5,0,-0.26394508,0.05,0.40494966,0.39849601,0.005771484,0.057714844,0.25,1.2426426
110,0.125,0.18187493,0.021323501,0.027530753,0.01669966,5.5638587,4.5,0,-0.33544417,0.1,0.40702747,0.41838343,0.011780198,0.11780198,0.25,1.308868
110,0.15,0.46870607,-0.019010368,0.11790588,-0.015341366,4.812731,4.5,0,-0.37094071,0.1,0.40111407,0.39842076,0.017668795,0.17668795,0.25,1.47824
110,0.175,0.60277808,-0.033235223,0.17931927,-0.036940926,4.5332156,4.5,0,-0.37298555,0.1,0.38122652,0.37333365,0.024193101,0.24193101,0.25,1.5946968
110,0.2,0.67739122,-0.0373503,0.18467586,-0.040788653,4.4921875,4.5,0,-0.36528127,0.1,0.35247517,0.35198916,0.03085885,0.3085885,0.25,1.6895298
110,0.25,0.74922479,-0.027605632,0.14274301,-0.031377333,4.4935937,4.5,0,-0.31349863,0.1,0.32281288,0.3307575,0.03588812,0.3588812,0.25,1.8892626
110,0.3,0.68073228,0,0,0,4.5,4.5,0,-0.20558488,0.1,0.33574759,0.32755548,0.038374068,0.38374068,0.25,1.9753116
110,0.4,0.69513637,0,0,0,4.5,4.5,0,-0.11974094,0.1,0.31706571,0.3,0.036789193,0.36789193,0.25,2.0039776
110,0.5,0.7241715,0,0,0,4.5,4.5,0,-0.092454433,0.1,0.3,0.3,0.031420409,0.31420409,0.25,2.0630187
110,0.6,0.79134996,0,0,0,4.5,4.5,0,-0.06694646,0.1,0.3,0.3,0.027863097,0.27863097,0.25,2.2063716
110,0.7,0.72259241,0,0,0,4.5,4.5,0,-0.02443462,0.1,0.3,0.3,0.02739425,0.2739425,0.25,2.0597657
110,0.85,0.81616898,0,0,0,4.5,4.5,0,0.002511683,0.1,0.27225873,0.27225873,0.023499381,0.23499381,0.25,2.2697226
110,1,0.83304793,0,0,0,4.5,4.5,0,0.021557901,0.05,0.2490378,0.2490378,0.015943678,0.15943678,0.25,2.3963319
110,1.5,0.77803927,0,0,0,4.5,4.5,0,0.035397534,0.05,0.1915604,0.1911044,0.009236815,0.092368151,0.25,2.3350019
110,2,0.65905818,0,0,0,4.5,4.5,0,0.062140285,0.05,0.15,0.15,0.00530524,0.053052399,0.25,2.1452004
110,2.5,0.80582588,0,0,0,4.5,4.5,0,0.080532233,0.05,0.15,0.15,0.003292115,0.032921148,0.25,2.5048913
110,3,0.57114052,0,0,0,4.5,4.5,0,0.019179159,0.05,0.15,0.15,0.002011328,0.020113282,0.25,1.814144
