Structural System,Pd_inside|CS1,Pd_inside|CS2,Pd_inside|CS3,Pd_outside|CS1,Pd_outside|CS2,Pd_outside|CS3,Median_PGA_chd,beta_chd
'11_20_11_20_03_03<3',0.16400,0.16400,0.16400,0.04000,0.04000,0.04000,0,0
'11_20_11_20_03_03>=3',0.16400,0.16400,0.16400,0.03333,0.03333,0.03333,0,0
'11_60_11_03_03_10<3',0.49200,0.49200,0.49200,0.15000,0.15000,0.15000,58.17,1.57
'11_60_11_03_10_10<3',0.49200,0.49200,0.49200,0.15000,0.15000,0.15000,58.17,1.57
'11_60_11_03_10_10>=3',0.49200,0.49200,0.49200,0.15000,0.15000,0.15000,47.91,1.54
'11_60_11_60_03_10<3',0.24600,0.24600,0.24600,0.06000,0.06000,0.06000,0,0
'11_60_11_60_03_10>=3',0.24600,0.24600,0.24600,0.06000,0.06000,0.06000,0,0
'11_60_11_60_10_10<3',0.24600,0.24600,0.24600,0.07500,0.07500,0.07500,0,0
'12_20_12_20_03_03<3',0.16400,0.16400,0.16400,0.04000,0.04000,0.04000,0,0
'12_20_12_20_03_03>=3',0.16400,0.16400,0.16400,0.03333,0.03333,0.03333,0,0
'12_30_12_30_03_10<3',0.12300,0.12300,0.12300,0.03000,0.03000,0.03000,0,0
'12_30_12_30_03_10>=3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'12_60_12_03_10_10<3',0.32800,0.32800,0.32800,0.10000,0.10000,0.10000,58.17,1.57
'12_60_12_03_10_10>=3',0.32800,0.32800,0.32800,0.10000,0.10000,0.10000,47.91,1.54
'12_60_12_60_03_10<3',0.16400,0.16400,0.16400,0.04000,0.04000,0.04000,0,0
'12_60_12_60_03_10>=3',0.16400,0.16400,0.16400,0.04000,0.04000,0.04000,0,0
'20_50_20_50_03_30<3',0.02526,0.11760,0.26040,0.00000,0.00000,0.20000,213.21,1.75
'20_50_20_50_03_30>=3',0.02526,0.11760,0.26040,0.00000,0.00000,0.10000,213.21,1.75
'20_60_20_03_03_30<3',0.00000,0.33600,0.47600,0.05000,0.08333,0.60000,68.18,1.59
'20_60_20_03_03_30>=3',0.00000,0.33600,0.47600,0.07500,0.12500,0.60000,47.91,1.54
'20_60_20_03_10_10<3_70',0.03360,0.03360,0.47600,0.07200,0.07200,0.60000,58.17,1.57
'20_60_20_03_10_10<3_90',0.00634,0.01485,0.47600,0.01200,0.01800,0.60000,58.17,1.57
'20_60_20_03_10_10>=3',0.00112,0.06329,0.47600,0.07500,0.12500,0.85000,47.91,1.54
'20_60_20_03_10_30<3',0.00000,0.33600,0.47600,0.11667,0.20000,0.60000,68.18,1.59
'20_60_20_03_10_30>=3',0.00000,0.33600,0.47600,0.17500,0.30000,0.60000,47.91,1.54
'20_60_20_60_03_30<3',0.28000,0.28000,0.47600,0.00000,0.00463,0.35000,114.02,1.66
'20_60_20_60_03_30>=3',0.00000,0.33600,0.47600,0.03846,0.06410,0.60000,85.74,1.62
'20_60_20_60_10_10<3',0.00000,0.02571,0.47600,0.01481,0.01481,0.35000,114.02,1.66
'20_60_20_60_10_10>=3',0.00000,0.08400,0.16800,0.05000,0.08750,0.15000,161.05,1.71
'20_60_20_60_10_30<3',0.00000,0.33600,0.47600,0.06481,0.11111,0.35000,114.02,1.66
'20_60_20_60_10_30>=3',0.00000,0.33600,0.47600,0.11667,0.20000,0.60000,68.18,1.59
'20_60_30_20_03_03<3',0.02800,0.02800,0.02800,0.01000,0.01000,0.01000,0,0
'20_60_30_20_03_03>=3',0.02800,0.02800,0.02800,0.00833,0.00833,0.00833,0,0
'30_20_30_20_10_03<3',0.47600,0.47600,0.47600,0.17000,0.17000,0.17000,213.21,1.75
'30_20_30_20_10_03>=3',0.47600,0.47600,0.47600,0.14167,0.14167,0.14167,213.21,1.75
'30_60_30_03_03_30<3',0.01400,0.01400,0.01400,0.01250,0.01250,0.01250,47.91,1.54
'30_60_30_03_10_30<3',0.01400,0.01400,0.01400,0.01250,0.01250,0.01250,47.91,1.54
'30_60_30_03_10_30>=3',0.01400,0.01400,0.01400,0.01250,0.01250,0.01250,47.91,1.54
'30_60_30_60_03_30<3',0.01400,0.01400,0.01400,0.01250,0.01250,0.01250,85.74,1.62
'30_60_30_60_03_30>=3',0.01400,0.01400,0.01400,0.01250,0.01250,0.01250,85.74,1.62
'30_60_30_60_10_30<3',0.01400,0.01400,0.01400,0.01250,0.01250,0.01250,85.74,1.62
'30_60_30_60_10_30>=3',0.01400,0.01400,0.01400,0.01250,0.01250,0.01250,85.74,1.62
'40_20_40_20_03_03<3',0.16400,0.16400,0.16400,0.04000,0.04000,0.04000,0,0
'40_20_40_20_03_03>=3',0.16400,0.16400,0.16400,0.03333,0.03333,0.03333,0,0
'40_30_40_30_03_10<3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'40_30_40_30_03_10>=3',0.05740,0.05740,0.05740,0.01400,0.01400,0.01400,0,0
'40_40_30_20_03_03<3',0.01400,0.01400,0.01400,0.01000,0.01000,0.01000,0,0
'40_40_30_20_03_03>=3',0.01400,0.01400,0.01400,0.00833,0.00833,0.00833,0,0
'40_40_40_20_03_03<3',0.04100,0.04100,0.04100,0.01000,0.01000,0.01000,0,0
'40_40_40_20_03_03>=3',0.05740,0.05740,0.05740,0.01167,0.01167,0.01167,0,0
'40_40_40_40_03_03<3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'40_40_40_40_03_03>=3',0.05740,0.05740,0.05740,0.01167,0.01167,0.01167,0,0
'40_40_40_40_03_10<3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'40_40_40_40_03_10>=3',0.05740,0.05740,0.05740,0.01400,0.01400,0.01400,0,0
