Structural System,T1,T2,b0,b1,b2,b3,beta_s,DL_DS2,DL_DS3,DL_DS4,DL_CS1,DL_CS2,DL_CS3,Median_PGA_chf,beta_chf
'12_30_12_30_03_10>=3',0.85,2,-1.903450285,0.679568536,0,0.090132273,0.399072777,0.030552,0.0488832,0.122208,0.30438,0.30438,0.30438,0,0
'12_60_12_03_10_10<3',0.85,0,-1.959707804,0.909468906,0,0,0.379946626,0.036144,0.056475,0.13554,0.2259,0.2259,0.2259,0.5829,0.6888
'12_60_12_03_10_10>=3',1,0,-1.506610861,0.924591693,0.017222183,0,0.403536399,0.04843296,0.0756765,0.1816236,0.302706,0.302706,0.302706,0.5829,0.6888
'12_60_12_60_03_10<3',0.85,0,-1.959707804,0.909468906,0,0,0.379946626,0.036144,0.056475,0.13554,0.2259,0.2259,0.2259,0,0
'12_60_12_60_03_10>=3',1,0,-1.506610861,0.924591693,0.017222183,0,0.403536399,0.04843296,0.0756765,0.1816236,0.302706,0.302706,0.302706,0,0
'20_50_20_50_03_30<3',0.5,0.01,-3.525994126,0.913540431,-0.084646245,0.802125328,0.433125447,0.00264,0.00891,0.01023,0.00495,0.01023,0.02079,0.4124,0.7804
'20_50_20_50_03_30>=3',0.5,0.01,-3.525994126,0.913540431,-0.084646245,0.802125328,0.433125447,0.00264,0.00891,0.01023,0.00495,0.01023,0.02079,0.4124,0.7804
'20_60_20_03_03_30<3',0.4,0.25,-3.28192409,0.803346597,0,0.39991793,0.418390021,0.0043168,0.0145692,0.0415492,0.0960488,0.1327416,0.1381376,0.4124,0.7804
'20_60_20_03_03_30>=3',0.4,0.25,-3.28192409,0.803346597,0,0.39991793,0.418390021,0.0043168,0.0145692,0.0415492,0.0960488,0.1327416,0.1381376,0.4124,0.7804
'20_60_20_03_10_10<3_70',0.25,0.5,-4.065962422,1.314844229,0,0.388808424,0.545589079,0.003136,0.010584,0.030184,0.048216,0.048216,0.049,0.5829,0.6888
'20_60_20_03_10_10<3_90',0.5,0,-2.629205913,1.191958263,-0.042513224,0,0.521218369,0.003,0.010125,0.028875,0.037019608,0.09175,0.107877451,0.5829,0.6888
'20_60_20_03_10_10>=3',0.6,0,-2.590621651,1.026188261,-0.052791632,0,0.377200419,0.005072,0.017118,0.030432,0.01585,0.030432,0.0985236,0.5829,0.6888
'20_60_20_03_10_30<3',0.01,0,-3.093700953,2.146830272,-0.053878149,0,0.536095444,0.002248,0.007587,0.009554,0.0023885,0.009554,0.016579,0.5829,0.6888
'20_60_20_03_10_30>=3',0.01,0,-3.093700953,2.146830272,-0.053878149,0,0.536095444,0.002248,0.007587,0.009554,0.0023885,0.009554,0.016579,0.5829,0.6888
'20_60_20_60_03_30<3',0.25,0.5,-4.164642923,0.951623292,0,0.226214516,0.458971383,0.0024,0.0081,0.0231,0.0264,0.0354,0.078,0.4124,0.7804
'20_60_20_60_03_30>=3',0.4,0.25,-3.28192409,0.803346597,0,0.39991793,0.418390021,0.0043168,0.0145692,0.0415492,0.0960488,0.1327416,0.1381376,0.4124,0.7804
'20_60_20_60_10_10<3',0.01,0.3,-3.901206148,1.650586351,0,0.9810127,0.542417401,0.0022,0.007425,0.021175,0.021175,0.0275,0.11825,0.5829,0.6888
'20_60_20_60_10_10>=3',0.6,0.01,-2.666002407,1.576976875,0,0.188959729,0.427803901,0.009912,0.033453,0.0825174,0.03717,0.0825174,0.147441,0.5829,0.6888
'20_60_20_60_10_30<3',0.01,0,-3.093700953,2.146830272,-0.053878149,0,0.536095444,0.002248,0.007587,0.009554,0.0023885,0.009554,0.016579,0.5829,0.6888
'20_60_20_60_10_30>=3',0.01,0,-3.093700953,2.146830272,-0.053878149,0,0.536095444,0.002248,0.007587,0.009554,0.0023885,0.009554,0.016579,0.5829,0.6888
'20_60_30_20_03_03<3',0.3,0,-3.73512831,0.723629619,0.024583904,0,0.349662022,0.0128,0.0316,0.098,0.64,0.64,0.64,0,0
'20_60_30_20_03_03>=3',0.3,0,-3.73512831,0.723629619,0.024583904,0,0.349662022,0.0128,0.0316,0.098,0.64,0.64,0.64,0,0
'30_20_30_20_10_03<3',0.3,0,-4.230400517,0.949995224,0,0,0.420941359,0.00232,0.00783,0.00899,0.026,0.026,0.026,0.4124,0.7804
'30_20_30_20_10_03>=3',0.3,0,-4.230400517,0.949995224,0,0,0.420941359,0.00232,0.00783,0.00899,0.026,0.026,0.026,0.4124,0.7804
'30_60_30_03_03_30<3',0.01,0.4,-3.344051854,0.938271965,0,0.413637336,0.462401505,0.0088,0.021725,0.067375,0.12,0.12,0.12,0.5829,0.6888
'30_60_30_03_10_30<3',0.01,0.4,-3.344051854,0.938271965,0,0.413637336,0.462401505,0.0088,0.021725,0.067375,0.12,0.12,0.12,0.5829,0.6888
'30_60_30_03_10_30>=3',0.01,0.4,-3.344051854,0.938271965,0,0.413637336,0.462401505,0.0088,0.021725,0.067375,0.12,0.12,0.12,0.5829,0.6888
'30_60_30_60_03_30<3',0.01,0.4,-3.344051854,0.938271965,0,0.413637336,0.462401505,0.0088,0.021725,0.067375,0.12,0.12,0.12,0.5829,0.6888
'30_60_30_60_03_30>=3',0.01,0.4,-3.344051854,0.938271965,0,0.413637336,0.462401505,0.0088,0.021725,0.067375,0.12,0.12,0.12,0.5829,0.6888
'30_60_30_60_10_30<3',0.01,0.4,-3.344051854,0.938271965,0,0.413637336,0.462401505,0.0088,0.021725,0.067375,0.12,0.12,0.12,0.5829,0.6888
'30_60_30_60_10_30>=3',0.01,0.4,-3.344051854,0.938271965,0,0.413637336,0.462401505,0.0088,0.021725,0.067375,0.12,0.12,0.12,0.5829,0.6888
'40_20_40_20_03_03<3',1.5,0.85,-1.135923421,0.705009925,0,0.227521964,0.409986922,0.026,0.0416,0.104,0.218,0.218,0.218,0,0
'40_20_40_20_03_03>=3',2,0,-0.635111069,0.797652477,-0.035776713,0,0.380418633,0.03484,0.055744,0.13936,0.29212,0.29212,0.29212,0,0
'40_30_40_30_03_10<3',1.5,0,-1.160855894,0.662391795,0,0,0.431171984,0.0300912,0.0476444,0.1015578,0.48,0.48,0.48,0,0
'40_30_40_30_03_10>=3',3,0,0.536518588,0.874250494,0.064519223,0,0.366600752,0.0401216,0.0639438,0.1354104,0.6432,0.6432,0.6432,0,0
'40_40_30_20_03_03<3',0.3,0,-3.73512831,0.723629619,0.024583904,0,0.349662022,0.0128,0.0316,0.098,0.64,0.64,0.64,0,0
'40_40_30_20_03_03>=3',0.3,0,-3.73512831,0.723629619,0.024583904,0,0.349662022,0.0128,0.0316,0.098,0.64,0.64,0.64,0,0
'40_40_40_20_03_03<3',0.01,0,-4.015821894,0.988853421,0.045418685,0,0.41842116,0.0152,0.02432,0.0608,0.2964,0.2964,0.2964,0,0
'40_40_40_20_03_03>=3',0.85,0,-1.940230372,0.813009553,0.048315068,0,0.377809681,0.03699,0.05891,0.14659,0.36579,0.36579,0.36579,0,0
'40_40_40_40_03_03<3',0.6,0,-2.794954362,0.744767971,0,0,0.466064761,0.022,0.0352,0.088,0.22,0.22,0.22,0,0
'40_40_40_40_03_03>=3',0.85,0,-1.940230372,0.813009553,0.048315068,0,0.377809681,0.03699,0.05891,0.14659,0.36579,0.36579,0.36579,0,0
'40_40_40_40_03_10<3',0.6,0,-2.794954362,0.744767971,0,0,0.466064761,0.022,0.0352,0.088,0.22,0.22,0.22,0,0
'40_40_40_40_03_10>=3',0.85,0,-1.940230372,0.813009553,0.048315068,0,0.377809681,0.03699,0.05891,0.14659,0.36579,0.36579,0.36579,0,0
