Structural System,T1,T2,b0,b1,b2,b3,beta_s,DL_DS2,DL_DS3,DL_DS4,DL_CS1,DL_CS2,DL_CS3,Median_PGA_chf,beta_chf
'11_20_11_20_03_03<3',1.5,0,-1.034483198,0.856062996,-0.113113554,0,0.413022257,0.026,0.0416,0.104,0.218,0.218,0.218,0,0
'11_20_11_20_03_03>=3',2.5,0,-0.014900475,0.869639062,-0.047127412,0,0.364815925,0.03484,0.055744,0.13936,0.29212,0.29212,0.29212,0,0
'11_60_11_03_03_10<3',0.4,0.7,-2.783892536,0.621392172,-0.075089137,0.414440894,0.430236468,0.0057876,0.02067,0.047541,0.12,0.12,0.12,0.5829,0.6888
'11_60_11_03_10_10<3',0.4,0.7,-2.783892536,0.621392172,-0.075089137,0.414440894,0.430236468,0.0057876,0.02067,0.047541,0.12,0.12,0.12,0.5829,0.6888
'11_60_11_03_10_10>=3',0.6,0,-2.530696464,0.827634466,0,0,0.396086887,0.0115752,0.04134,0.095082,0.12,0.12,0.12,0.5829,0.6888
'11_60_11_60_03_10<3',0.4,0.7,-2.783892536,0.621392172,-0.075089137,0.414440894,0.430236468,0.0057876,0.02067,0.047541,0.12,0.12,0.12,0,0
'11_60_11_60_03_10>=3',0.6,0,-2.530696464,0.827634466,0,0,0.396086887,0.0115752,0.04134,0.095082,0.12,0.12,0.12,0,0
'11_60_11_60_10_10<3',0.4,0.7,-2.783892536,0.621392172,-0.075089137,0.414440894,0.430236468,0.0057876,0.02067,0.047541,0.12,0.12,0.12,0,0
'12_20_12_20_03_03<3',1.5,0.85,-1.135923421,0.705009925,0,0.227521964,0.409986922,0.026,0.0416,0.104,0.218,0.218,0.218,0,0
'12_20_12_20_03_03>=3',2,0,-0.635111069,0.797652477,-0.035776713,0,0.380418633,0.03484,0.055744,0.13936,0.29212,0.29212,0.29212,0,0
'12_30_12_30_03_10<3',0.6,0,-2.800750336,0.683791487,-0.061240695,0,0.461444243,0.0184,0.02944,0.0736,0.184,0.184,0.184,0,0
