periods,m0_level1,m1_level1,m2_level1,m3_level1,m4_level1,m5_level1,r0_level1,r1_level1,r2_level1,r3_level1,r4_level1,r5_level1,m0_level2,m1_level2,m2_level2,m3_level2,m4_level2,m5_level2,r0_level2,r1_level2,r2_level2,r3_level2,r4_level2,r5_level2,m0_level3,m1_level3,m2_level3,m3_level3,m4_level3,m5_level3,r0_level3,r1_level3,r2_level3,r3_level3,r4_level3,r5_level3,m0_level4,m1_level4,m2_level4,m3_level4,m4_level4,m5_level4,r0_level4,r1_level4,r2_level4,r3_level4,r4_level4,r5_level4
0.25,4.91826715,0.584419741,-0.437599898,0.329574944,0.493626993,-0.136635607,-3.044387401,0.400797375,-0.608537034,0.0731857,-2.484808087,0.21337536,5.185311955,0.806289915,-0.401390205,0.398004077,0.508096935,-0.133505356,-3.049344456,0.401471687,-0.598412727,0.071487176,-2.494422243,0.214416464,5.418410879,1.054737564,-0.337202968,0.51302783,0.496927467,-0.122719627,-3.049681971,0.400945136,-0.608240301,0.072673309,-2.491594375,0.213567136,5.579328663,1.155869035,-0.331964629,0.514676286,0.521178647,-0.129472461,-3.075190277,0.404657409,-0.611470005,0.071883264,-2.498231821,0.214269148
0.3,4.815608777,0.692527176,-0.445930401,0.293874013,0.550340858,-0.152420007,-2.984287286,0.393094523,-0.628622258,0.075811503,-2.306419261,0.1908995,5.075678329,0.931055935,-0.402757092,0.362878395,0.580450492,-0.157162913,-2.977938612,0.391750958,-0.644774542,0.078624627,-2.311341297,0.191167417,5.298797733,1.171367363,-0.340278144,0.481484405,0.57599381,-0.148800178,-2.988819458,0.393219022,-0.631752351,0.076232906,-2.312775874,0.190971432,5.453985083,1.284366423,-0.329143882,0.486251992,0.605170664,-0.157751776,-3.025213831,0.398155059,-0.645222702,0.078338779,-2.31159141,0.190258835
0.4,4.592842338,0.925831116,-0.430798446,0.238868925,0.663413025,-0.191661733,-2.933344113,0.387327331,-0.645919435,0.07799271,-2.08616819,0.163852162,4.828560621,1.170733772,-0.381480868,0.323136497,0.706986611,-0.201831992,-2.927256841,0.386433414,-0.666450023,0.081723025,-2.096947356,0.165018193,5.036828775,1.396699346,-0.322125457,0.445508141,0.719584641,-0.199518836,-2.930689511,0.385899383,-0.675861872,0.084218916,-2.091796497,0.16352062,5.168018318,1.516916473,-0.304561732,0.462590473,0.770447761,-0.217295052,-2.959625283,0.389892663,-0.6934759,0.08671405,-2.098214542,0.164078276
0.5,4.412138167,1.144101819,-0.401195799,0.224290265,0.762266279,-0.224474827,-2.899487698,0.384218747,-0.647569409,0.078594099,-1.947941193,0.147163143,4.624319824,1.387435249,-0.348948389,0.321205183,0.824483138,-0.240671513,-2.883334213,0.380844068,-0.689195478,0.085968199,-1.956975655,0.148577732,4.812891907,1.590383247,-0.295211501,0.448696846,0.857690757,-0.248011808,-2.895528008,0.382874506,-0.683348633,0.084790468,-1.954892818,0.14747729,4.921516183,1.711579132,-0.273601302,0.472215757,0.92986655,-0.272969499,-2.92398172,0.386749567,-0.703197655,0.088172058,-1.965417403,0.148890356
0.6,4.226220163,1.325094459,-0.369649716,0.228350745,0.846863276,-0.253210131,-2.878806436,0.382001291,-0.66580624,0.081897677,-1.863535453,0.137551264,4.414390524,1.559554528,-0.316923066,0.335463757,0.935376795,-0.280355974,-2.867571192,0.379316056,-0.704017738,0.089127288,-1.87354942,0.138804861,4.584822557,1.743338644,-0.26799716,0.465686249,0.986120423,-0.293036255,-2.881460144,0.3826048,-0.69670183,0.086391651,-1.873946826,0.138405222,4.673860764,1.857663785,-0.245429572,0.496880283,1.07565878,-0.324904467,-2.916409177,0.386830846,-0.716916218,0.090693894,-1.885327675,0.140069298
0.7,4.049960595,1.485679175,-0.336858054,0.243092595,0.933994255,-0.284336253,-2.864000155,0.380062472,-0.714611305,0.090898944,-1.800054212,0.130231097,4.208678627,1.699597151,-0.287234522,0.365594662,1.038709949,-0.315751707,-2.869762363,0.381208621,-0.718018065,0.090956425,-1.817862066,0.133142706,4.365548278,1.866932833,-0.242814016,0.493806327,1.111855635,-0.336793336,-2.879625846,0.383390682,-0.721038905,0.090156558,-1.814286465,0.132116321,4.434532311,1.970175344,-0.221346782,0.534036359,1.211338331,-0.370859888,-2.910657765,0.387304531,-0.745806042,0.094960151,-1.829045873,0.134259886
0.85,3.848659037,1.680042886,-0.29736845,0.29529704,1.061753907,-0.322544045,-2.836976684,0.377619825,-0.701457607,0.088044625,-1.719497749,0.121947907,3.978000827,1.8753908,-0.249933619,0.422734979,1.199865197,-0.367824508,-2.850171301,0.379990178,-0.708501149,0.090147663,-1.733854566,0.123743363,4.115445027,2.016155558,-0.213378441,0.547646663,1.304835723,-0.401084044,-2.85428766,0.380285069,-0.707277327,0.088942666,-1.734058905,0.123520094,4.157578612,2.103614528,-0.193882661,0.593955443,1.424794204,-0.440287623,-2.883194762,0.384910254,-0.749040056,0.095726348,-1.744049035,0.125034241
1,3.613732626,1.814403372,-0.265840702,0.342753391,1.183332523,-0.362119287,-2.830616796,0.377210357,-0.718923284,0.091569224,-1.673244763,0.117820014,3.718018825,1.986036884,-0.223202881,0.472125397,1.342088515,-0.412655505,-2.850269072,0.381218079,-0.733740722,0.094677075,-1.687666486,0.119362865,3.839588073,2.109223351,-0.190746142,0.588057994,1.468266231,-0.451527021,-2.865321502,0.383509999,-0.712492469,0.089744455,-1.693868261,0.120264166,3.862755552,2.179735556,-0.175061684,0.641947032,1.596864826,-0.492094794,-2.892037534,0.387646833,-0.757108137,0.097211239,-1.700485356,0.120956407
1.5,2.770221311,2.013211056,-0.200465651,0.478011948,1.541493018,-0.478290301,-2.913381565,0.392722357,-0.818579177,0.108536326,-1.680161518,0.124479179,2.82134097,2.120632493,-0.173907103,0.588477381,1.755306571,-0.539325463,-2.928161833,0.395119722,-0.831954984,0.10995801,-1.708064606,0.128858911,2.91563274,2.212348238,-0.149403546,0.674567631,1.903545917,-0.576440328,-2.949061757,0.398542055,-0.827635212,0.10905033,-1.708976904,0.128448084,2.912660434,2.247676497,-0.142156035,0.707200133,2.045984043,-0.61138343,-2.98240675,0.403580124,-0.865282534,0.115633164,-1.722309026,0.129417077
2,2.218656956,2.120833276,-0.167412124,0.589395553,1.872975043,-0.568806313,-2.942738416,0.399391231,-0.85645057,0.11481291,-1.646932844,0.124180869,2.236701634,2.187919566,-0.151399645,0.677693998,2.097465725,-0.618464539,-2.953564702,0.400897208,-0.880835355,0.119569711,-1.679707515,0.128663786,2.32038946,2.266392998,-0.130590059,0.729778042,2.255268153,-0.649831166,-2.967147499,0.402045982,-0.875679318,0.1188668,-1.683676369,0.129043391,2.301734198,2.281015666,-0.128330563,0.746639006,2.375483111,-0.663043929,-3.013718883,0.409886397,-0.913376173,0.123640334,-1.696416196,0.130250897
2.5,1.732057222,2.143049555,-0.155287589,0.652960155,2.110624561,-0.620124677,-2.970796768,0.404185196,-0.899368759,0.122737388,-1.658694735,0.128641886,1.73829369,2.194914739,-0.143131607,0.713332758,2.322624739,-0.653134575,-2.986344455,0.406852057,-0.923397383,0.12636493,-1.689416231,0.132976589,1.818276344,2.268604376,-0.123634219,0.746056449,2.459173425,-0.666674594,-2.997281453,0.407743691,-0.924638881,0.1266872,-1.690773379,0.132439626,1.795463407,2.274318368,-0.123921736,0.753580688,2.547405278,-0.659194277,-3.0440324,0.415013688,-0.962269835,0.132016066,-1.706930004,0.134342639
3,1.318034039,2.138181651,-0.150841846,0.678482938,2.299380935,-0.650711775,-2.994901922,0.408077379,-0.931826509,0.128047672,-1.685589054,0.135170159,1.320799328,2.182774359,-0.140740365,0.723628037,2.473614146,-0.657971962,-3.01264287,0.410817947,-0.960020843,0.132189022,-1.713429235,0.138945736,1.397491958,2.25143044,-0.122782507,0.746551565,2.582712056,-0.65408533,-3.020714974,0.411693723,-0.973577553,0.135102157,-1.712167323,0.137469082,1.375837414,2.255551369,-0.123622563,0.749161054,2.633433336,-0.625851101,-3.07049697,0.419232855,-1.0036818,0.139322155,-1.7289355,0.139289067
4,0.655184915,2.105637813,-0.150725528,0.688907517,2.521715848,-0.647769929,-3.037077566,0.414912783,-0.983993872,0.137224373,-1.728297526,0.143967897,0.656587542,2.142698393,-0.142989716,0.718296471,2.628132602,-0.617204592,-3.054138201,0.417582845,-1.013063086,0.140424666,-1.760599124,0.148862913,0.735879612,2.211641674,-0.125449,0.733693537,2.677716548,-0.58484366,-3.062360548,0.418256266,-1.022534848,0.142498894,-1.757115848,0.146468761,0.717459867,2.214991992,-0.126722274,0.731269866,2.675062724,-0.530933853,-3.11660742,0.426712245,-1.044924121,0.145049524,-1.778503454,0.148927197
5,0.141691373,2.066627892,-0.155272959,0.681610771,2.60959272,-0.599929961,-3.063671576,0.418390013,-1.019138986,0.143782169,-1.771861797,0.152048315,0.145995816,2.103730133,-0.14784513,0.702857988,2.658101585,-0.542564003,-3.085066943,0.422617143,-1.038414963,0.143562065,-1.803453738,0.15671288,0.228289863,2.17598851,-0.129167979,0.718999999,2.658310446,-0.488797657,-3.100577644,0.424673198,-1.04216419,0.144467399,-1.801427882,0.154630252,0.21364761,2.179881372,-0.130644557,0.712959532,2.639351023,-0.435411256,-3.154752871,0.433062996,-1.062744399,0.146863831,-1.826012172,0.157370936
