periods,m0_level1,m1_level1,m2_level1,m3_level1,m4_level1,m5_level1,r0_level1,r1_level1,r2_level1,r3_level1,r4_level1,r5_level1,m0_level2,m1_level2,m2_level2,m3_level2,m4_level2,m5_level2,r0_level2,r1_level2,r2_level2,r3_level2,r4_level2,r5_level2,m0_level3,m1_level3,m2_level3,m3_level3,m4_level3,m5_level3,r0_level3,r1_level3,r2_level3,r3_level3,r4_level3,r5_level3,m0_level4,m1_level4,m2_level4,m3_level4,m4_level4,m5_level4,r0_level4,r1_level4,r2_level4,r3_level4,r4_level4,r5_level4
-0.01,1.438106117,1.048035534,-0.188260776,0.220306064,0.917699778,-0.148439468,-3.596039211,0.490220949,-1.4610982,0.209000349,-2.870969915,0.310301536,1.630085333,1.180225049,-0.160800615,0.291126183,0.925419175,-0.14350571,-3.608308695,0.490036894,-1.524808046,0.220010533,-2.933002705,0.317957166,1.821990697,1.376752409,-0.110322942,0.385211381,0.905735259,-0.128620827,-3.617544379,0.49114651,-1.518217651,0.216990957,-2.928467927,0.3148295,1.935697295,1.402994146,-0.110556436,0.399773453,0.901634739,-0.124477648,-3.673919574,0.4987421,-1.57955833,0.226813079,-2.990526154,0.322912386
0.01,5.155539746,0.594706545,-0.142934797,0.551560888,0.131086132,-0.076225194,-4.160309094,0.528645996,-2.075768254,0.258667192,-3.609408906,0.358791218,5.439546918,0.763173738,-0.10783147,0.632854437,0.125409924,-0.066066523,-4.171285895,0.528282353,-2.122992423,0.267791029,-3.696177054,0.370753666,5.69263757,1.025596538,-0.040651159,0.743390488,0.094574668,-0.044146199,-4.178739185,0.528426713,-2.118734102,0.266146887,-3.693825642,0.368259803,5.872754673,1.054008429,-0.042689722,0.759052595,0.078724258,-0.035145788,-4.222469877,0.533902791,-2.18331676,0.276781275,-3.783583649,0.381054011
0.025,5.945796383,0.605122854,-0.091616239,0.79562243,0.017785033,-0.048396277,-4.264700531,0.536317812,-3.577751811,0.473755877,-3.760380821,0.320305618,6.232544611,0.772497564,-0.055610175,0.878542932,0.006489367,-0.035927968,-4.252528747,0.5323274,-3.600941864,0.478499079,-3.877488789,0.337526925,6.488858948,1.039886185,0.01280831,0.989218289,-0.033454075,-0.009136249,-4.251598965,0.531510056,-3.617880596,0.481385929,-3.871741364,0.333936514,6.671640661,1.065952475,0.011075193,1.001501085,-0.044020319,-0.002952662,-4.271803869,0.533497917,-3.646161853,0.485314161,-3.99485837,0.352342209
0.05,5.76445865,0.56407322,-0.128405921,0.662306899,0.085512741,-0.04663348,-3.739164741,0.482530437,-1.806006049,0.238010354,-4.441752617,0.452038329,6.044128168,0.721355146,-0.101276778,0.753372204,0.073208993,-0.03426933,-3.729255313,0.479385774,-1.758084247,0.231853757,-4.537630146,0.465472559,6.3016947,0.990291318,-0.032102335,0.859774835,0.032577793,-0.00852678,-3.738371674,0.480437825,-1.755502704,0.231835973,-4.539581712,0.463846998,6.475522103,1.006857295,-0.04333486,0.88177764,0.020143045,-0.000450331,-3.762628063,0.483198238,-1.699211441,0.221798295,-4.638092004,0.478464565
0.075,5.665785146,0.516061493,-0.184875973,0.62248348,0.148304074,-0.050305554,-3.550075619,0.463315607,-0.86623976,0.102579029,-4.315558512,0.449991901,5.941625727,0.668236308,-0.164542732,0.710417999,0.141777397,-0.040350529,-3.543694432,0.461611491,-0.833680086,0.098811171,-4.366152949,0.456123646,6.200806592,0.941070883,-0.09418728,0.811560235,0.100773459,-0.014026213,-3.550773355,0.46221116,-0.824659063,0.097325888,-4.370997534,0.455640714,6.374696577,0.952211583,-0.113294497,0.834501192,0.089367372,-0.006105489,-3.575299941,0.464483885,-0.797446741,0.093362163,-4.418793922,0.461514969
0.1,5.4180191,0.463350797,-0.252815531,0.546161157,0.218933569,-0.065012941,-3.432108475,0.450218858,-0.670134519,0.076914531,-3.840762719,0.39070429,5.691943118,0.622064502,-0.234319949,0.633313064,0.211685022,-0.053762812,-3.423517061,0.448216794,-0.644511731,0.073932913,-3.871627038,0.393970227,5.948975091,0.893837708,-0.164139136,0.733499512,0.17996554,-0.033194822,-3.419927602,0.447084718,-0.660799591,0.076869031,-3.870476629,0.392533885,6.120925445,0.915910935,-0.183278674,0.749136521,0.172253337,-0.024731731,-3.444100911,0.450049909,-0.636520587,0.072109264,-3.902865588,0.396590487
0.125,5.248071484,0.437723164,-0.311046976,0.491833931,0.279561112,-0.078178576,-3.325075605,0.437078105,-0.60703227,0.069979221,-3.451592203,0.340161703,5.521372155,0.607192325,-0.291415747,0.572956825,0.278769065,-0.068661234,-3.311817804,0.434417229,-0.611097565,0.071308318,-3.465100542,0.340972712,5.776593403,0.874272456,-0.222593679,0.673977542,0.245608447,-0.04721799,-3.321548214,0.435724016,-0.612017244,0.071033717,-3.466946864,0.340529888,5.948467991,0.909789086,-0.239578648,0.685621995,0.243829378,-0.042543225,-3.341212941,0.437773792,-0.599114995,0.069040498,-3.486928508,0.342402796
0.15,5.160812893,0.437307889,-0.356174293,0.450759945,0.333463426,-0.091995741,-3.240637666,0.426380857,-0.591661224,0.069072744,-3.151260144,0.300496942,5.434713356,0.617555598,-0.334326801,0.52686046,0.334567688,-0.082588313,-3.230792782,0.424276702,-0.586563255,0.068669382,-3.165242556,0.30174762,5.686119382,0.882298282,-0.266093357,0.629266346,0.307170055,-0.064402484,-3.238041231,0.425212048,-0.59686009,0.070156402,-3.161257186,0.300135158,5.857398359,0.934023077,-0.278612505,0.637437261,0.312404795,-0.063774904,-3.260083513,0.427715519,-0.586887074,0.068060018,-3.174482545,0.301391923
0.175,5.102693885,0.458142149,-0.388375859,0.417517336,0.380037802,-0.103795447,-3.168904099,0.417117955,-0.586485209,0.068237553,-2.924889618,0.270662641,5.375122536,0.648541586,-0.363365786,0.491105896,0.382248421,-0.094869925,-3.164922645,0.415937307,-0.580410328,0.067813898,-2.937547389,0.271912748,5.622060662,0.910337853,-0.295983815,0.595997302,0.360922228,-0.080316151,-3.169340091,0.416493011,-0.587497796,0.068593462,-2.933823664,0.270483787,5.79197603,0.976327775,-0.304133732,0.600171758,0.369471797,-0.079750598,-3.190907136,0.419051889,-0.58388041,0.067730292,-2.944674939,0.271451581
0.2,5.019392998,0.489291569,-0.411335871,0.379401443,0.420918384,-0.116377502,-3.131298956,0.412706984,-0.596581305,0.06983716,-2.750366087,0.248053291,5.28684981,0.688984242,-0.383428187,0.455835049,0.427544648,-0.10959618,-3.124360031,0.411126333,-0.602353989,0.071727834,-2.756420759,0.248142305,5.532180007,0.950325191,-0.316009239,0.560743105,0.408950518,-0.095771761,-3.126233575,0.410558577,-0.607168263,0.072853896,-2.75503835,0.247290569,5.701067938,1.029872896,-0.319324002,0.561337612,0.421834488,-0.096958125,-3.149131988,0.413758046,-0.611743613,0.072414924,-2.76152475,0.247780662
