Ti,0.01,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.85,1
0.01,1,0.895818507,0.880859447,0.79535185,0.73214099,0.681797112,0.639881174,0.603933331,0.558043691,0.519148423
0.1,0.895818507,1,0.781400168,0.640560617,0.5451614,0.474524087,0.419348976,0.374676039,0.321216697,0.279054476
0.2,0.880859447,0.781400168,1,0.852143865,0.749020638,0.67088859,0.608655562,0.557386386,0.494835686,0.444425066
0.3,0.79535185,0.640560617,0.852143865,1,0.894902803,0.814125126,0.749020638,0.69483564,0.627991281,0.573468877
0.4,0.73214099,0.5451614,0.749020638,0.894902803,1,0.918420221,0.852143865,0.796609683,0.727605773,0.67088859
0.5,0.681797112,0.474524087,0.67088859,0.814125126,0.918420221,1,0.933319822,0.877162197,0.807008612,0.749020638
0.6,0.639881174,0.419348976,0.608655562,0.749020638,0.852143865,0.933319822,1,0.943610778,0.872864754,0.814125126
0.7,0.603933331,0.374676039,0.557386386,0.69483564,0.796609683,0.877162197,0.943610778,1,0.92899869,0.869827429
0.85,0.558043691,0.321216697,0.494835686,0.627991281,0.727605773,0.807008612,0.872864754,0.92899869,1,0.940553141
1,0.519148423,0.279054476,0.444425066,0.573468877,0.67088859,0.749020638,0.814125126,0.869827429,0.940553141,1
