IM,IM_T,correlation_matrix_empirical
Sa[0.4],Sa[0.25],0.4303715597364998
Sa[0.4],Sa[0.2],0.2704931406678216
Sa[0.4],Sa[0.3],0.6736064656704864
Sa[0.4],Sa[0.4],1.0
Sa[0.4],Sa[0.5],0.7950125519836155
Sa[0.4],Sa[0.6],0.56171228159296
Sa[0.4],Sa[0.7],0.35975929484206
Sa[0.4],Sa[0.85],0.253483480631925
Sa[0.4],Sa[1.0],0.1775314131746232
Sa[0.4],Sa[1.5],0.146321013287351
Sa[0.4],Sa[2.0],0.1947480608166331
Sa[0.4],Sa[2.5],0.2362221407086027
Sa[0.4],Sa[3.0],0.3051699574624361
Sa[0.4],Sa[4.0],0.3439043590344796
Sa[0.4],Sa[5.0],0.3667927771230419
Sa[0.5],Sa[0.01],0.2893649668401077
Sa[0.5],Sa[0.025],0.3146676346877091
Sa[0.5],Sa[0.05],0.1969842006298006
Sa[0.5],Sa[0.075],0.0898740613911074
Sa[0.5],Sa[0.125],0.0681766092310099
Sa[0.5],Sa[0.15],0.0882068817482791
Sa[0.5],Sa[0.175],0.1116115106423896
Sa[0.5],Sa[0.1],0.0690017727144011
Sa[0.5],Sa[0.25],0.2151116547390909
Sa[0.5],Sa[0.2],0.1312073697230818
Sa[0.5],Sa[0.3],0.4103492565204407
Sa[0.5],Sa[0.4],0.7950125519836155
Sa[0.5],Sa[0.5],1.0
Sa[0.5],Sa[0.6],0.8724492713408122
Sa[0.5],Sa[0.7],0.6682119008835269
Sa[0.5],Sa[0.85],0.4959479390449305
Sa[0.5],Sa[1.0],0.3678172312928934
Sa[0.5],Sa[1.5],0.2620384190814025
Sa[0.5],Sa[2.0],0.2918860428326096
Sa[0.5],Sa[2.5],0.3314482991362099
Sa[0.5],Sa[3.0],0.3937382376071021
Sa[0.5],Sa[4.0],0.4205476104676404
Sa[0.5],Sa[5.0],0.4538739303639981
Sa[0.6],Sa[0.01],0.1920584862667247
Sa[0.6],Sa[0.025],0.2418095186498227
Sa[0.6],Sa[0.05],0.1352901383810623
Sa[0.6],Sa[0.075],0.0054512410732531
Sa[0.6],Sa[0.125],-0.0139256654404733
Sa[0.6],Sa[0.15],0.0084704535344164
Sa[0.6],Sa[0.175],0.0332500056537487
Sa[0.6],Sa[0.1],-0.0149598609927869
Sa[0.6],Sa[0.25],0.0873479669486037
Sa[0.6],Sa[0.2],0.0477655662384511
Sa[0.6],Sa[0.3],0.2373766832837019
Sa[0.6],Sa[0.4],0.56171228159296
Sa[0.6],Sa[0.5],0.8724492713408122
Sa[0.6],Sa[0.6],1.0
Sa[0.6],Sa[0.7],0.8553364295853776
Sa[0.6],Sa[0.85],0.7283688978153651
Sa[0.6],Sa[1.0],0.5921651271210157
Sa[0.6],Sa[1.5],0.4155921888722741
Sa[0.6],Sa[2.0],0.391973727460663
Sa[0.6],Sa[2.5],0.4383783356220427
Sa[0.6],Sa[3.0],0.4815888439774033
Sa[0.6],Sa[4.0],0.4827151987872043
Sa[0.6],Sa[5.0],0.5139931005402456
Sa[0.7],Sa[0.01],0.1155151883708501
Sa[0.7],Sa[0.025],0.1738581574723442
Sa[0.7],Sa[0.05],0.0810373611857626
Sa[0.7],Sa[0.075],-0.0485198789543778
Sa[0.7],Sa[0.125],-0.0612367911063772
Sa[0.7],Sa[0.15],-0.0421205870490415
Sa[0.7],Sa[0.175],-0.0162020616791392
Sa[0.7],Sa[0.1],-0.062674943896968
Sa[0.7],Sa[0.25],0.0218562003106265
Sa[0.7],Sa[0.2],0.0004745215008639
Sa[0.7],Sa[0.3],0.1334947918416222
Sa[0.7],Sa[0.4],0.35975929484206
Sa[0.7],Sa[0.5],0.6682119008835269
Sa[0.7],Sa[0.6],0.8553364295853776
Sa[0.7],Sa[0.7],1.0
Sa[0.7],Sa[0.85],0.8362353202667774
Sa[0.7],Sa[1.0],0.6715660613372114
Sa[0.7],Sa[1.5],0.4587332050352006
Sa[0.7],Sa[2.0],0.4853340155983208
Sa[0.7],Sa[2.5],0.448590176990069
Sa[0.7],Sa[3.0],0.4888914341141405
Sa[0.7],Sa[4.0],0.4907896710037254
Sa[0.7],Sa[5.0],0.530890025391717
Sa[0.85],Sa[0.01],0.0469614373388693
Sa[0.85],Sa[0.025],0.1254790873034639
Sa[0.85],Sa[0.05],0.0434894145654599
Sa[0.85],Sa[0.075],-0.1076479125027356
Sa[0.85],Sa[0.125],-0.1184715405628342
Sa[0.85],Sa[0.15],-0.0970799695140208
Sa[0.85],Sa[0.175],-0.0695859613185403
Sa[0.85],Sa[0.1],-0.1231901651367434
Sa[0.85],Sa[0.25],-0.0360692783585801
Sa[0.85],Sa[0.2],-0.0507290255469125
Sa[0.85],Sa[0.3],0.0620379005705132
Sa[0.85],Sa[0.4],0.253483480631925
Sa[0.85],Sa[0.5],0.4959479390449305
Sa[0.85],Sa[0.6],0.7283688978153651
Sa[0.85],Sa[0.7],0.8362353202667774
Sa[0.85],Sa[0.85],1.0
Sa[0.85],Sa[1.0],0.8472235800009857
Sa[0.85],Sa[1.5],0.6512553897929482
Sa[0.85],Sa[2.0],0.6057044305973888
Sa[0.85],Sa[2.5],0.5827006574789301
Sa[0.85],Sa[3.0],0.5848100522771302
Sa[0.85],Sa[4.0],0.5482700592647951
Sa[0.85],Sa[5.0],0.5828848568149073
Sa[1.0],Sa[0.01],0.0220993780738194
Sa[1.0],Sa[0.025],0.1042104722343491
Sa[1.0],Sa[0.05],0.0261770607960861
Sa[1.0],Sa[0.075],-0.12848795314078
Sa[1.0],Sa[0.125],-0.1365294488882599
Sa[1.0],Sa[0.15],-0.1137366337638514
Sa[1.0],Sa[0.175],-0.0866381388890335
Sa[1.0],Sa[0.1],-0.1419484853924868
Sa[1.0],Sa[0.25],-0.0492699697629953
Sa[1.0],Sa[0.2],-0.06822643093015
Sa[1.0],Sa[0.3],0.0415414768937869
Sa[1.0],Sa[0.4],0.1775314131746232
Sa[1.0],Sa[0.5],0.3678172312928934
Sa[1.0],Sa[0.6],0.5921651271210157
Sa[1.0],Sa[0.7],0.6715660613372114
Sa[1.0],Sa[0.85],0.8472235800009857
Sa[1.0],Sa[1.0],1.0
Sa[1.0],Sa[1.5],0.8136046327960833
Sa[1.0],Sa[2.0],0.5630625869950847
Sa[1.0],Sa[2.5],0.6782487311339921
Sa[1.0],Sa[3.0],0.6490337171825858
Sa[1.0],Sa[4.0],0.5496352361953263
Sa[1.0],Sa[5.0],0.5413931394236513
Sa[0.025],Sa[0.01],0.9054484077180917
Sa[0.025],Sa[0.025],1.0
Sa[0.025],Sa[0.05],0.8260433556975054
Sa[0.025],Sa[0.075],0.6878081344500515
Sa[0.025],Sa[0.125],0.5823223005899537
Sa[0.025],Sa[0.15],0.5587727603022202
Sa[0.025],Sa[0.175],0.5312860852724668
Sa[0.025],Sa[0.1],0.6334751205013128
Sa[0.025],Sa[0.25],0.4575655473473138
Sa[0.025],Sa[0.2],0.4953748478885004
Sa[0.025],Sa[0.3],0.4796104853923549
Sa[0.025],Sa[0.4],0.3897326198668601
Sa[0.025],Sa[0.5],0.3146676346877091
Sa[0.025],Sa[0.6],0.2418095186498227
Sa[0.025],Sa[0.7],0.1738581574723442
Sa[0.025],Sa[0.85],0.1254790873034639
Sa[0.025],Sa[1.0],0.1042104722343491
Sa[0.025],Sa[1.5],0.1326607929675319
Sa[0.025],Sa[2.0],0.1935431393319051
Sa[0.025],Sa[2.5],0.2202111895082019
Sa[0.025],Sa[3.0],0.2904849937678496
Sa[0.025],Sa[4.0],0.3224537282013432
Sa[0.025],Sa[5.0],0.3328136616164812
Sa[0.05],Sa[0.01],0.760616142811369
Sa[0.05],Sa[0.025],0.8260433556975054
Sa[0.05],Sa[0.05],1.0
Sa[0.05],Sa[0.075],0.8030239508096167
Sa[0.05],Sa[0.125],0.5316143576968824
Sa[0.05],Sa[0.15],0.4781178396571417
Sa[0.05],Sa[0.175],0.4329912767385425
Sa[0.05],Sa[0.1],0.6431587715823995
Sa[0.05],Sa[0.25],0.3375738101246378
Sa[0.05],Sa[0.2],0.3862779076385109
Sa[0.05],Sa[0.3],0.3499673751885748
Sa[0.05],Sa[0.4],0.2631351383646273
Sa[0.05],Sa[0.5],0.1969842006298006
Sa[0.05],Sa[0.6],0.1352901383810623
Sa[0.05],Sa[0.7],0.0810373611857626
Sa[0.05],Sa[0.85],0.0434894145654599
Sa[0.05],Sa[1.0],0.0261770607960861
Sa[0.05],Sa[1.5],0.0567338305048039
Sa[0.05],Sa[2.0],0.1522950792134432
Sa[0.05],Sa[2.5],0.1450081544325427
Sa[0.05],Sa[3.0],0.18211307442052
Sa[0.05],Sa[4.0],0.2261577636263617
Sa[0.05],Sa[5.0],0.2562060027941167
Sa[0.075],Sa[0.01],0.7189749147968468
Sa[0.075],Sa[0.025],0.6878081344500515
Sa[0.075],Sa[0.05],0.8030239508096167
Sa[0.075],Sa[0.075],1.0
Sa[0.075],Sa[0.125],0.6384448649881979
Sa[0.075],Sa[0.15],0.5377846733537811
Sa[0.075],Sa[0.175],0.4619271615283797
Sa[0.075],Sa[0.1],0.8166792408698931
Sa[0.075],Sa[0.25],0.3316744784348174
Sa[0.075],Sa[0.2],0.3998841130840411
Sa[0.075],Sa[0.3],0.300699658141876
Sa[0.075],Sa[0.4],0.1881377903053149
Sa[0.075],Sa[0.5],0.0898740613911074
Sa[0.075],Sa[0.6],0.0054512410732531
Sa[0.075],Sa[0.7],-0.0485198789543778
Sa[0.075],Sa[0.85],-0.1076479125027356
Sa[0.075],Sa[1.0],-0.12848795314078
Sa[0.075],Sa[1.5],-0.089135061342268
Sa[0.075],Sa[2.0],-0.006706335280662
Sa[0.075],Sa[2.5],-0.0281840979452846
Sa[0.075],Sa[3.0],0.0312948204715325
Sa[0.075],Sa[4.0],0.0805917036342918
Sa[0.075],Sa[5.0],0.0716190383549854
Sa[0.125],Sa[0.01],0.6434617578961659
Sa[0.125],Sa[0.025],0.5823223005899537
Sa[0.125],Sa[0.05],0.5316143576968824
Sa[0.125],Sa[0.075],0.6384448649881979
Sa[0.125],Sa[0.125],1.0
Sa[0.125],Sa[0.15],0.8225860124305177
Sa[0.125],Sa[0.175],0.6387663553062701
Sa[0.125],Sa[0.1],0.8097473580567045
Sa[0.125],Sa[0.25],0.3640463295213199
Sa[0.125],Sa[0.2],0.5132661009019143
Sa[0.125],Sa[0.3],0.2898538672412769
Sa[0.125],Sa[0.4],0.1705744833358428
Sa[0.125],Sa[0.5],0.0681766092310099
Sa[0.125],Sa[0.6],-0.0139256654404733
Sa[0.125],Sa[0.7],-0.0612367911063772
Sa[0.125],Sa[0.85],-0.1184715405628342
Sa[0.125],Sa[1.0],-0.1365294488882599
Sa[0.125],Sa[1.5],-0.0916028123894728
Sa[0.125],Sa[2.0],-0.0287323524878433
Sa[0.125],Sa[2.5],-0.0427151889670195
Sa[0.125],Sa[3.0],0.0192906160897423
Sa[0.125],Sa[4.0],0.0606606301098928
Sa[0.125],Sa[5.0],0.041935724940272
Sa[0.15],Sa[0.01],0.6263462709109038
Sa[0.15],Sa[0.025],0.5587727603022202
Sa[0.15],Sa[0.05],0.4781178396571417
Sa[0.15],Sa[0.075],0.5377846733537811
Sa[0.15],Sa[0.125],0.8225860124305177
Sa[0.15],Sa[0.15],1.0
Sa[0.15],Sa[0.175],0.873153424244903
Sa[0.15],Sa[0.1],0.6402617891563437
Sa[0.15],Sa[0.25],0.4664107811073627
Sa[0.15],Sa[0.2],0.687493782867876
Sa[0.15],Sa[0.3],0.3407229585328805
Sa[0.15],Sa[0.4],0.1899083462377971
Sa[0.15],Sa[0.5],0.0882068817482791
Sa[0.15],Sa[0.6],0.0084704535344164
Sa[0.15],Sa[0.7],-0.0421205870490415
Sa[0.15],Sa[0.85],-0.0970799695140208
Sa[0.15],Sa[1.0],-0.1137366337638514
Sa[0.15],Sa[1.5],-0.0727251524241405
Sa[0.15],Sa[2.0],-0.0250571035318271
Sa[0.15],Sa[2.5],-0.0247079776750872
Sa[0.15],Sa[3.0],0.0354976502764739
Sa[0.15],Sa[4.0],0.0720118971774983
Sa[0.15],Sa[5.0],0.0544658543579788
Sa[0.175],Sa[0.01],0.6028914858050399
Sa[0.175],Sa[0.025],0.5312860852724668
Sa[0.175],Sa[0.05],0.4329912767385425
Sa[0.175],Sa[0.075],0.4619271615283797
Sa[0.175],Sa[0.125],0.6387663553062701
Sa[0.175],Sa[0.15],0.873153424244903
Sa[0.175],Sa[0.175],1.0
Sa[0.175],Sa[0.1],0.5277187891137426
Sa[0.175],Sa[0.25],0.6042676720706275
Sa[0.175],Sa[0.2],0.8958965459029756
Sa[0.175],Sa[0.3],0.4210729830517495
Sa[0.175],Sa[0.4],0.2220369218766906
Sa[0.175],Sa[0.5],0.1116115106423896
Sa[0.175],Sa[0.6],0.0332500056537487
Sa[0.175],Sa[0.7],-0.0162020616791392
Sa[0.175],Sa[0.85],-0.0695859613185403
Sa[0.175],Sa[1.0],-0.0866381388890335
Sa[0.175],Sa[1.5],-0.0535451735751028
Sa[0.175],Sa[2.0],-0.0150616456393955
Sa[0.175],Sa[2.5],-0.0074675764001863
Sa[0.175],Sa[3.0],0.0555496912070939
Sa[0.175],Sa[4.0],0.0908758263465137
Sa[0.175],Sa[5.0],0.0741986791564241
Sa[0.25],Sa[0.01],0.5254325173600346
Sa[0.25],Sa[0.025],0.4575655473473138
Sa[0.25],Sa[0.05],0.3375738101246378
Sa[0.25],Sa[0.075],0.3316744784348174
Sa[0.25],Sa[0.125],0.3640463295213199
Sa[0.25],Sa[0.15],0.4664107811073627
Sa[0.25],Sa[0.175],0.6042676720706275
Sa[0.25],Sa[0.1],0.3439690571794819
Sa[0.25],Sa[0.25],1.0
Sa[0.25],Sa[0.2],0.7747741911233272
Sa[0.25],Sa[0.3],0.819998182819641
Sa[0.25],Sa[0.4],0.4303715597364998
Sa[0.25],Sa[0.5],0.2151116547390909
Sa[0.25],Sa[0.6],0.0873479669486037
Sa[0.25],Sa[0.7],0.0218562003106265
Sa[0.25],Sa[0.85],-0.0360692783585801
Sa[0.25],Sa[1.0],-0.0492699697629953
Sa[0.25],Sa[1.5],-0.0199316014644821
Sa[0.25],Sa[2.0],0.0123623418765546
Sa[0.25],Sa[2.5],0.0399794705855897
Sa[0.25],Sa[3.0],0.1151094745207857
Sa[0.25],Sa[4.0],0.1515645785126064
Sa[0.25],Sa[5.0],0.1388538472974539
Sa[1.5],Sa[0.01],0.0490242635252678
Sa[1.5],Sa[0.025],0.1326607929675319
Sa[1.5],Sa[0.05],0.0567338305048039
Sa[1.5],Sa[0.075],-0.089135061342268
Sa[1.5],Sa[0.125],-0.0916028123894728
Sa[1.5],Sa[0.15],-0.0727251524241405
Sa[1.5],Sa[0.175],-0.0535451735751028
Sa[1.5],Sa[0.1],-0.0948358260051147
Sa[1.5],Sa[0.25],-0.0199316014644821
Sa[1.5],Sa[0.2],-0.041717787701317
Sa[1.5],Sa[0.3],0.0620082738568978
Sa[1.5],Sa[0.4],0.146321013287351
Sa[1.5],Sa[0.5],0.2620384190814025
Sa[1.5],Sa[0.6],0.4155921888722741
Sa[1.5],Sa[0.7],0.4587332050352006
Sa[1.5],Sa[0.85],0.6512553897929482
Sa[1.5],Sa[1.0],0.8136046327960833
Sa[1.5],Sa[1.5],1.0
Sa[1.5],Sa[2.0],0.3842946737281618
Sa[1.5],Sa[2.5],0.7183001657827669
Sa[1.5],Sa[3.0],0.7700791128868446
Sa[1.5],Sa[4.0],0.5853642504556074
Sa[1.5],Sa[5.0],0.4307243594466415
Sa[2.0],Sa[0.01],0.0989817486919924
Sa[2.0],Sa[0.025],0.1935431393319051
Sa[2.0],Sa[0.05],0.1522950792134432
Sa[2.0],Sa[0.075],-0.006706335280662
Sa[2.0],Sa[0.125],-0.0287323524878433
Sa[2.0],Sa[0.15],-0.0250571035318271
Sa[2.0],Sa[0.175],-0.0150616456393955
Sa[2.0],Sa[0.1],-0.0259796956267335
Sa[2.0],Sa[0.25],0.0123623418765546
Sa[2.0],Sa[0.2],-0.0071793814094004
Sa[2.0],Sa[0.3],0.1157137096133256
Sa[2.0],Sa[0.4],0.1947480608166331
Sa[2.0],Sa[0.5],0.2918860428326096
Sa[2.0],Sa[0.6],0.391973727460663
Sa[2.0],Sa[0.7],0.4853340155983208
Sa[2.0],Sa[0.85],0.6057044305973888
Sa[2.0],Sa[1.0],0.5630625869950847
Sa[2.0],Sa[1.5],0.3842946737281618
Sa[2.0],Sa[2.0],1.0
Sa[2.0],Sa[2.5],0.4735883160711487
Sa[2.0],Sa[3.0],0.4495492197519316
Sa[2.0],Sa[4.0],0.6301184929150606
Sa[2.0],Sa[5.0],0.8309459017400898
Sa[2.5],Sa[0.01],0.1220896410471804
Sa[2.5],Sa[0.025],0.2202111895082019
Sa[2.5],Sa[0.05],0.1450081544325427
Sa[2.5],Sa[0.075],-0.0281840979452846
Sa[2.5],Sa[0.125],-0.0427151889670195
Sa[2.5],Sa[0.15],-0.0247079776750872
Sa[2.5],Sa[0.175],-0.0074675764001863
Sa[2.5],Sa[0.1],-0.0431652542845154
Sa[2.5],Sa[0.25],0.0399794705855897
Sa[2.5],Sa[0.2],0.0036001046774064
Sa[2.5],Sa[0.3],0.154028521635609
Sa[2.5],Sa[0.4],0.2362221407086027
Sa[2.5],Sa[0.5],0.3314482991362099
Sa[2.5],Sa[0.6],0.4383783356220427
Sa[2.5],Sa[0.7],0.448590176990069
Sa[2.5],Sa[0.85],0.5827006574789301
Sa[2.5],Sa[1.0],0.6782487311339921
Sa[2.5],Sa[1.5],0.7183001657827669
Sa[2.5],Sa[2.0],0.4735883160711487
Sa[2.5],Sa[2.5],1.0
Sa[2.5],Sa[3.0],0.7896532163101175
Sa[2.5],Sa[4.0],0.4019186314419999
Sa[2.5],Sa[5.0],0.4263426180640579
Sa[3.0],Sa[0.01],0.2011033707901744
Sa[3.0],Sa[0.025],0.2904849937678496
Sa[3.0],Sa[0.05],0.18211307442052
Sa[3.0],Sa[0.075],0.0312948204715325
Sa[3.0],Sa[0.125],0.0192906160897423
Sa[3.0],Sa[0.15],0.0354976502764739
Sa[3.0],Sa[0.175],0.0555496912070939
Sa[3.0],Sa[0.1],0.0239680180123368
Sa[3.0],Sa[0.25],0.1151094745207857
Sa[3.0],Sa[0.2],0.0712998101860624
Sa[3.0],Sa[0.3],0.2099009997721962
Sa[3.0],Sa[0.4],0.3051699574624361
Sa[3.0],Sa[0.5],0.3937382376071021
Sa[3.0],Sa[0.6],0.4815888439774033
Sa[3.0],Sa[0.7],0.4888914341141405
Sa[3.0],Sa[0.85],0.5848100522771302
Sa[3.0],Sa[1.0],0.6490337171825858
Sa[3.0],Sa[1.5],0.7700791128868446
Sa[3.0],Sa[2.0],0.4495492197519316
Sa[3.0],Sa[2.5],0.7896532163101175
Sa[3.0],Sa[3.0],1.0
Sa[3.0],Sa[4.0],0.7508631438086991
Sa[3.0],Sa[5.0],0.5219966347682239
Sa[4.0],Sa[0.01],0.2377237202830248
Sa[4.0],Sa[0.025],0.3224537282013432
Sa[4.0],Sa[0.05],0.2261577636263617
Sa[4.0],Sa[0.075],0.0805917036342918
Sa[4.0],Sa[0.125],0.0606606301098928
Sa[4.0],Sa[0.15],0.0720118971774983
Sa[4.0],Sa[0.175],0.0908758263465137
Sa[4.0],Sa[0.1],0.068984459177094
Sa[4.0],Sa[0.25],0.1515645785126064
Sa[4.0],Sa[0.2],0.1082101332763112
Sa[4.0],Sa[0.3],0.251324292151226
Sa[4.0],Sa[0.4],0.3439043590344796
Sa[4.0],Sa[0.5],0.4205476104676404
Sa[4.0],Sa[0.6],0.4827151987872043
Sa[4.0],Sa[0.7],0.4907896710037254
Sa[4.0],Sa[0.85],0.5482700592647951
Sa[4.0],Sa[1.0],0.5496352361953263
Sa[4.0],Sa[1.5],0.5853642504556074
Sa[4.0],Sa[2.0],0.6301184929150606
Sa[4.0],Sa[2.5],0.4019186314419999
Sa[4.0],Sa[3.0],0.7508631438086991
Sa[4.0],Sa[4.0],1.0
Sa[4.0],Sa[5.0],0.8389348928923613
Sa[5.0],Sa[0.01],0.2350595275743773
Sa[5.0],Sa[0.025],0.3328136616164812
Sa[5.0],Sa[0.05],0.2562060027941167
Sa[5.0],Sa[0.075],0.0716190383549854
Sa[5.0],Sa[0.125],0.041935724940272
Sa[5.0],Sa[0.15],0.0544658543579788
Sa[5.0],Sa[0.175],0.0741986791564241
Sa[5.0],Sa[0.1],0.0471395807317229
Sa[5.0],Sa[0.25],0.1388538472974539
Sa[5.0],Sa[0.2],0.0922632592827327
Sa[5.0],Sa[0.3],0.272436637155779
Sa[5.0],Sa[0.4],0.3667927771230419
Sa[5.0],Sa[0.5],0.4538739303639981
Sa[5.0],Sa[0.6],0.5139931005402456
Sa[5.0],Sa[0.7],0.530890025391717
Sa[5.0],Sa[0.85],0.5828848568149073
Sa[5.0],Sa[1.0],0.5413931394236513
Sa[5.0],Sa[1.5],0.4307243594466415
Sa[5.0],Sa[2.0],0.8309459017400898
Sa[5.0],Sa[2.5],0.4263426180640579
Sa[5.0],Sa[3.0],0.5219966347682239
Sa[5.0],Sa[4.0],0.8389348928923613
Sa[5.0],Sa[5.0],1.0
